# =============================================================================
# {All-in-One Deluxe Edition}-yuanze31
# =============================================================================


# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================

# =============================================================================
# Basic dialog strings
# =============================================================================

dialog_new	新建游戏
dialog_load	加载
dialog_save	存档
dialog_saveas	另存为
dialog_delete	删除
dialog_width	宽度
dialog_height	高度
dialog_name	名称
dialog_type	类型
dialog_x	X
dialog_y	Y
dialog_z	Z
dialog_w	W
dialog_h	H
dialog_exit	退出
dialog_cancel	取消
dialog_ok	确定
dialog_open	打开
dialog_close	关闭选项
dialog_closed	已关闭
dialog_add	添加
dialog_up	上
dialog_down	下
dialog_yes	是
dialog_no	否
dialog_loading	加载中...
dialog_low	低
dialog_medium	中
dialog_high	高
dialog_none	无
ellipsis	……


# =============================================================================
# Dialog Editor
# =============================================================================

dialogeditor_title	对话编辑器
dialogeditor_back	后退
dialogeditor_front	前进
dialogeditor_reloadlanguage	重新加载语言
dialogeditor_test	测试
dialogeditor_window	视窗
dialogeditor_grid	网格
dialogeditor_caption	标题
dialogeditor_component	组件
dialogeditor_select	选择
dialogeditor_create	创建
dialogeditor_background	背景图像
dialogeditor_panel	面板

dialogcomponent_custom	自定义
dialogcomponent_button	按钮
dialogcomponent_container	容器
dialogcomponent_caption	标题
dialogcomponent_titlecaption	标题字幕
dialogcomponent_checkbox	复选框
dialogcomponent_inputfield	输入区
dialogcomponent_inputslider	输入条
dialogcomponent_dropdownmenu	下拉菜单
dialogcomponent_selectionlist	选择列表
dialogcomponent_selectionlistitem	选择列表项目
dialogcomponent_scrollbar	滚动条
dialogcomponent_progressbar	进度条
dialogcomponent_canvas	画布
dialogcomponent_iconbox	图标盒

dialogposition_absolute	绝对位置
dialogposition_relative	相对位置
dialogposition_scaled	按比例放置


# =============================================================================
# Profiler
# =============================================================================

profiler_title	分析器
profiler_name	名称
profiler_timings	计时
profiler_totaltime	总计
profiler_glfinishcaption	glFinish
profiler_reset	重置


# =============================================================================
# Sound tools
