# =============================================================================
# {All-in-One Deluxe Edition}-yuanze31
# =============================================================================

# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================
# =============================================================================

# June27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog	完整更新日志
codex_legal	法务
codex_privacy	隐私政策
codex_terms-of-use	使用条款
codex_eula	最终用户许可协议

# =============================================================================
# Interface Mode
# =============================================================================

interfacemode_wallsanddoors	墙壁和门
interfacemode_flooring	地板
tunnelsearch_underway	正在进行地道搜查
tunnelsearch_found	地道
moveobjects_prompt	双击：移动物品
moveobjects_abort	右击：取消移动

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors	不同的墙壁和门类型
buildtoolbar_popup_flooring	不同的地板风格
buildtoolbar_popup_spawn	你可以自由地创建并放置各种对象。\n\n在已经存在的对象上按住左键并拖动，可以移动其位置。\n按住Shift键并按住和拖动鼠标，可以旋转它的朝向。\n在空地上点击并拖动鼠标，可以新建多个对象；\n但记得同时还应按住Shift键，以免中途变成移动已有对象。\n\n警告：有些（特别是剧情模式才出现的）对象被生成后就无法移除了。
buildtoolbar_tunnelsearch	管道搜查

buildtoolbar_tooltip_tunnelsearch	怀疑罪犯正企图越狱？命令警卫搜查所有马桶。

buildtoolbar_GuardResponse	警卫反应
buildtoolbar_tooltip_GuardResponse	启用后，可在地图上点击左键，召唤附近警卫前往指定地点。多次点击召唤更多警卫。点击右键停止。

# =============================================================================
# New Materials
# =============================================================================

material_NewTiledWall	花砖墙
material_NewBarredWall	铁丝网墙
material_NewBBlockWall	白墙
material_NewHedgeWall	篱笆
material_NewIronFloor	铁门
material_NewCargoFloor	货箱底板
material_NewCheckeredFloor	方格花纹地板
material_Snow	雪

# =============================================================================
# Misc
# =============================================================================

double_click_select_desc	双击左键跟踪*E
quickbuild_intermediatecell	升级的牢房
quickbuild_holdingcell	拘留牢房
quickbuild_medical	医疗室
quickbuild_shop	商店
quickbuild_shower	淋浴間
quickbuild_staffroom	员工休息室
quickbuild_workshop	工坊

# =============================================================================
# Main Menu
# =============================================================================

mm_updatenotes_Date	2019年6月27日
mm_updatenotes_Header	牢房升级
mm_updatenotes_01	新加入4种地砖和4种墙面。
mm_updatenotes_02	性能提升，减少加载时间。
mm_updatenotes_03	对于警卫队长也教授方案的大型监狱，增加可雇佣的警卫队长数量。
mm_updatenotes_04	现有物品现已拥有完整循环，针对迷失方向加入新精灵。
mm_updatenotes_05	新增“警卫反应”按钮，可命令附近警卫到指定地点集合，玩家无需额外雇佣警卫处理事件。
mm_updatenotes_06	新增“地道搜查”按钮，可命令警卫搜查所有马桶，寻找隐藏的逃狱地道。
mm_updatenotes_07	“快速建造”菜单新加入额外的“快速房间”，房间建造更快捷方便。
mm_updatenotes_08	跟踪囚犯和管教更加容易，可通过双击实现。
mm_updatenotes_09	新增移动和重新摆放物品的能力！选中并双击物品即可。
mm_updatenotes_10	希望您喜欢这些新功能及改进！

############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud	泥地
material_mud	泥地
material_yutaniwall	墙壁 (Yutani)
material_solacofloor	Solaco 瓷砖
material_gratefloor	格柵

# =============================================================================
# Objects - Names
# =============================================================================

object_snowyconifertree	树（雪针叶树）

object_palmtree	树（棕榈树）
object_plant	植物

object_bush	灌木

object_streetlamp	路灯

object_floodlight	灯（泛光灯）

object_bleachers	露天看台
object_smallbench	板凳（小）
object_smalltable	桌子（小）
